,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[13444],-0.238855,0.00133989,0.0933155,0.0863496,-0.413205,-0.225762,-0.11337,5443.72,2660.11,4.38208,1.00217
log_lik[13445],-0.669559,0.00339559,0.22528,0.224923,-1.07456,-0.645308,-0.353698,4756.35,2796.29,3.82876,0.999819
log_lik[13446],-0.221047,0.000757339,0.0557644,0.0541702,-0.321848,-0.215368,-0.140301,5925.52,2430.42,4.76991,1.00196
log_lik[13447],-0.351192,0.00205786,0.133858,0.128573,-0.597602,-0.33177,-0.170482,4330.13,2658.67,3.48566,1.00119
log_lik[13448],-0.364527,0.00183123,0.127053,0.117939,-0.602526,-0.346805,-0.185793,5388.28,2664.97,4.33745,1.00015
log_lik[13449],-0.157465,0.00115648,0.0745204,0.0631372,-0.292814,-0.143381,-0.0645607,5368.8,2539.31,4.32176,1.00091
log_lik[13450],-0.78864,0.00194032,0.137484,0.133047,-1.02699,-0.780162,-0.576439,5204.19,2902.44,4.18926,1.0013
log_lik[13451],-0.344987,0.00193056,0.137955,0.123063,-0.605636,-0.324057,-0.159961,5748.62,3155.84,4.62751,0.999528
log_lik[13452],-0.240725,0.000769183,0.0578433,0.0572764,-0.346553,-0.235255,-0.156666,5950.28,2888.62,4.78984,1.00273
log_lik[13453],-1.50873,0.00485718,0.332779,0.334333,-2.07509,-1.49821,-0.986396,4661.5,2709.28,3.7524,1.00182
log_lik[13454],-0.198688,0.000910681,0.0624498,0.0594394,-0.31228,-0.190761,-0.113662,5317.09,2225.79,4.28014,1.0016
log_lik[13455],-0.324753,0.00189189,0.128027,0.116491,-0.563056,-0.3041,-0.153719,5577.16,2646.99,4.48949,0.999816
log_lik[13456],-0.198592,0.000910893,0.0624086,0.0594269,-0.312632,-0.190463,-0.113504,5301.83,2350.49,4.26785,1.00182
log_lik[13457],-0.481958,0.00223316,0.15615,0.149251,-0.762173,-0.466332,-0.259821,4866.26,2438.27,3.91724,1.00234
log_lik[13458],-0.0121257,0.000104318,0.00645346,0.00519737,-0.0248494,-0.0106939,-0.00469484,4940.4,2832.56,3.97691,0.999865
log_lik[13459],-0.502063,0.00193852,0.141197,0.136635,-0.760784,-0.487855,-0.296597,5519.17,2682.8,4.44281,1.00226
log_lik[13460],-0.339051,0.000907165,0.0632137,0.061615,-0.452061,-0.333179,-0.245875,5239.32,2536.03,4.21754,1.00328
log_lik[13461],-1.21801,0.00442719,0.309637,0.314828,-1.75831,-1.18761,-0.750896,5155.06,3016.73,4.14971,1.00077
log_lik[13462],-0.155965,0.000820843,0.0552545,0.0521237,-0.259296,-0.147256,-0.0818771,4987.95,2893.52,4.01519,1.00007
log_lik[13463],-0.894632,0.00341694,0.256448,0.250852,-1.35907,-0.870993,-0.516767,5855.55,2835.93,4.71359,1.00182
log_lik[13464],-0.241292,0.000788822,0.0590439,0.0558342,-0.34926,-0.234476,-0.155188,6352.56,2418.83,5.11367,1.00165
log_lik[13465],-0.0509009,0.000186946,0.012489,0.0115012,-0.0739657,-0.0494934,-0.0332273,4839.68,2546.26,3.89583,1.00161
log_lik[13466],-0.118249,0.000610013,0.0419342,0.0383918,-0.196596,-0.111228,-0.0627786,5092.6,2967.16,4.09943,1.00027
log_lik[13467],-0.0175978,0.000132696,0.00865423,0.00739172,-0.0338563,-0.0158514,-0.00712799,5238.82,2357.73,4.21713,1.00067
log_lik[13468],-0.0242448,0.000182494,0.0125049,0.0102614,-0.0478709,-0.0215118,-0.00954669,5385.63,2983.34,4.33532,1.00072
log_lik[13469],-0.439868,0.00198987,0.138394,0.134997,-0.686301,-0.425365,-0.242728,4982.15,2294.7,4.01052,1.00158
log_lik[13470],-0.474319,0.00246573,0.161396,0.156066,-0.774246,-0.453667,-0.249356,4727.58,2589.06,3.8056,1.00061
log_lik[13471],-0.102557,0.000602296,0.0393627,0.0364393,-0.1777,-0.0962831,-0.0522852,4916.38,2803.37,3.95758,1.00016
log_lik[13472],-0.674196,0.00332278,0.224964,0.21758,-1.08952,-0.646567,-0.350226,4691.85,2924.02,3.77684,1.00207
log_lik[13473],-0.226611,0.00134489,0.0930544,0.0868391,-0.398447,-0.211711,-0.103983,5181.41,2558.3,4.17092,1.0005
log_lik[13474],-1.01312,0.00392509,0.260366,0.252789,-1.47492,-0.988016,-0.628138,4902.1,2406.29,3.94608,1.00273
log_lik[13475],-0.384051,0.00207914,0.143427,0.130716,-0.645087,-0.362276,-0.190916,5144.88,2850.08,4.14152,1.00249
log_lik[13476],-0.308173,0.00193942,0.123153,0.111603,-0.536996,-0.290189,-0.143987,4588.69,2513.94,3.69379,1.00054
log_lik[13477],-1.18287,0.00317849,0.225959,0.225465,-1.577,-1.17264,-0.832258,5148.25,2715.11,4.14422,1.00023
log_lik[13478],-0.978665,0.00347562,0.255809,0.257226,-1.42842,-0.958486,-0.593307,5784.3,2740.45,4.65623,1.00089
log_lik[13479],-0.366046,0.00192753,0.1321,0.124107,-0.609687,-0.348732,-0.1846,5083.79,2361.42,4.09234,1.0023
log_lik[13480],-1.14551,0.00244483,0.184253,0.185755,-1.46448,-1.13828,-0.858901,5761.38,2505.11,4.63778,1.00184
log_lik[13481],-0.0789099,0.000568316,0.0345683,0.0297417,-0.145068,-0.0722951,-0.0357823,4509.52,2599.4,3.63007,1.00546
log_lik[13482],-1.62163,0.00424635,0.305472,0.302966,-2.14092,-1.61077,-1.13955,5265.56,2239.24,4.23866,1.00058
