,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[43466],-0.367553,0.0014286,0.102048,0.0963995,-0.55153,-0.356281,-0.219024,5411.62,2631.19,6.47148,1.00268
log_lik[43467],-0.546574,0.00280634,0.188707,0.1893,-0.890719,-0.524315,-0.277239,4608.29,2558.24,5.51082,1.00236
log_lik[43468],-0.659074,0.00313645,0.223307,0.219577,-1.065,-0.63124,-0.345992,5426.47,2591.22,6.48923,1.00072
log_lik[43469],-0.820278,0.00207176,0.151463,0.149139,-1.09053,-0.807299,-0.588061,5464.42,2781.95,6.53463,1.00188
log_lik[43470],-0.736245,0.00288377,0.214189,0.209662,-1.12336,-0.717031,-0.425878,6024.47,2788.93,7.20436,1.00069
log_lik[43471],-0.714494,0.00315813,0.233896,0.231245,-1.12503,-0.690524,-0.376691,5792.28,2730.97,6.92669,1.00268
log_lik[43472],-1.02095,0.000780148,0.0590508,0.0596183,-1.1204,-1.01991,-0.924555,5775.47,2979.37,6.90659,1.00249
log_lik[43473],-0.875256,0.00411881,0.27627,0.270722,-1.37829,-0.849642,-0.469038,4637.29,2942.58,5.5455,1.00065
log_lik[43474],-0.835445,0.00282492,0.211907,0.21304,-1.20534,-0.817029,-0.514616,5644.57,2640.52,6.75005,0.999942
log_lik[43475],-0.557159,0.00273087,0.183584,0.181966,-0.885122,-0.537925,-0.294242,4719.08,2582.24,5.6433,1.00011
log_lik[43476],-1.01002,0.00241603,0.180038,0.17848,-1.32779,-1.00086,-0.732104,5664.62,2754.07,6.77403,0.999947
log_lik[43477],-0.555762,0.000523693,0.0390328,0.0393801,-0.622671,-0.554921,-0.493177,5757.08,2993.25,6.8846,1.00055
log_lik[43478],-0.535788,0.00158157,0.113529,0.11337,-0.736761,-0.527121,-0.364579,5362.46,2965.9,6.41269,1.00282
log_lik[43479],-0.606855,0.0027314,0.196625,0.192448,-0.963593,-0.58101,-0.331834,5757.0,2698.3,6.88451,1.00147
log_lik[43480],-0.508878,0.00244706,0.165464,0.160798,-0.806864,-0.486925,-0.282139,5231.24,2828.39,6.25577,1.00159
log_lik[43481],-0.225582,0.00138074,0.0937762,0.0845796,-0.398002,-0.20971,-0.105511,5212.23,2921.56,6.23304,1.0008
log_lik[43482],-0.509345,0.00239815,0.172232,0.167089,-0.824096,-0.488993,-0.26371,5492.27,2802.55,6.56793,1.00119
log_lik[43483],-0.264582,0.00124092,0.0903095,0.0865311,-0.430294,-0.253149,-0.140026,5622.9,2667.42,6.72414,1.00065
log_lik[43484],-0.688573,0.00154012,0.103209,0.100174,-0.872916,-0.683155,-0.529365,4655.88,2756.7,5.56773,1.00034
log_lik[43485],-0.279158,0.00147451,0.103314,0.0973451,-0.464416,-0.264667,-0.141178,5192.21,2862.86,6.2091,1.00145
log_lik[43486],-0.891863,0.00180678,0.133537,0.136522,-1.12232,-0.886134,-0.68407,5614.64,2982.99,6.71426,1.00083
log_lik[43487],-0.395224,0.000679077,0.0491771,0.0492223,-0.479831,-0.392262,-0.318183,5368.28,2399.91,6.41966,1.00042
log_lik[43488],-0.660322,0.00302083,0.209585,0.206392,-1.03919,-0.639022,-0.363385,5184.22,2622.08,6.19955,1.00014
log_lik[43489],-0.619765,0.00159786,0.12127,0.122503,-0.832285,-0.611592,-0.434537,5939.39,2521.09,7.10261,1.00212
log_lik[43490],-0.715615,0.00239809,0.170594,0.165907,-1.02097,-0.70121,-0.459216,5483.06,2584.65,6.55691,1.00063
log_lik[43491],-0.597861,0.00265762,0.208934,0.201104,-0.970048,-0.572213,-0.312315,6874.9,2240.43,8.22135,1.0014
log_lik[43492],-0.58563,0.0010943,0.0803558,0.080203,-0.722985,-0.583102,-0.46001,5470.94,2636.72,6.54241,1.00269
log_lik[43493],-0.635642,0.00259945,0.196005,0.205309,-0.973653,-0.619126,-0.350873,5465.19,2747.76,6.53554,1.00062
log_lik[43494],-0.651607,0.0025694,0.187775,0.182047,-0.986281,-0.632894,-0.374508,5593.74,2965.29,6.68927,1.00119
log_lik[43495],-0.542864,0.00107374,0.0745819,0.0745102,-0.674009,-0.539679,-0.425629,4923.97,2507.53,5.88832,1.00067
log_lik[43496],-1.35226,0.00472944,0.355348,0.36249,-1.97295,-1.32096,-0.818988,5871.13,2996.04,7.02099,1.00214
log_lik[43497],-0.584529,0.00209538,0.155043,0.144368,-0.855598,-0.573493,-0.351744,6162.42,2486.26,7.36933,1.00096
log_lik[43498],-0.512232,0.00125661,0.0891166,0.0861814,-0.666359,-0.505588,-0.374341,5173.76,2656.98,6.18704,1.00108
log_lik[43499],-1.01751,0.00273343,0.189575,0.190107,-1.3455,-1.00501,-0.72411,4971.13,2789.12,5.94471,1.00161
log_lik[43500],-0.282567,0.00178679,0.119576,0.111768,-0.506393,-0.262644,-0.128279,5171.28,3013.52,6.18407,1.00068
log_lik[43501],-0.4761,0.00237308,0.171742,0.159594,-0.790688,-0.452963,-0.238982,5663.95,2722.61,6.77323,1.00087
