,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[17461],-0.170324,0.0011676,0.0716814,0.0670069,-0.302113,-0.160169,-0.0757304,3894.75,2733.78,3.07192,1.00312
log_lik[17462],-0.177718,0.00152866,0.0981719,0.0840494,-0.365165,-0.156624,-0.0605862,4486.15,2632.23,3.53837,1.00079
log_lik[17463],-0.185918,0.00152993,0.0987823,0.0849776,-0.382271,-0.1667,-0.0648844,4648.21,2857.41,3.66619,1.00039
log_lik[17464],-0.215945,0.00112156,0.0770448,0.0745625,-0.354646,-0.206857,-0.107833,4774.85,3073.3,3.76608,1.00288
log_lik[17465],-0.169677,0.00148879,0.0923143,0.0786175,-0.347233,-0.151046,-0.0593232,4306.97,2396.13,3.39705,1.00056
log_lik[17466],-0.635273,0.002366,0.158839,0.154773,-0.913323,-0.61915,-0.398189,4771.04,3019.48,3.76307,1.0025
log_lik[17467],-1.85597,0.00726057,0.46593,0.471673,-2.68298,-1.81817,-1.15364,4275.08,2824.8,3.37189,1.0006
log_lik[17468],-0.451428,0.0015177,0.108926,0.105289,-0.646054,-0.441779,-0.285654,5182.67,2790.59,4.08774,0.999918
log_lik[17469],-0.669637,0.00283906,0.18749,0.186587,-1.00108,-0.650183,-0.39232,4545.78,2846.7,3.5854,1.00023
log_lik[17470],-0.682639,0.00305488,0.227002,0.219762,-1.08884,-0.656039,-0.355741,5545.46,2634.9,4.37388,1.00118
log_lik[17471],-0.200589,0.000918064,0.0630672,0.0579666,-0.317647,-0.192524,-0.113268,5335.23,2769.54,4.20807,1.00068
log_lik[17472],-0.169536,0.000567148,0.0391358,0.0378078,-0.240509,-0.165199,-0.113751,4911.65,3245.05,3.87397,1.00199
log_lik[17473],-0.148492,0.000603673,0.0415672,0.0393109,-0.223659,-0.143154,-0.0892231,4847.99,2629.77,3.82377,1.00089
log_lik[17474],-0.894072,0.00336978,0.229366,0.229127,-1.28803,-0.874937,-0.552483,4760.82,2589.34,3.75501,0.999514
log_lik[17475],-0.616468,0.00161278,0.105286,0.102939,-0.803806,-0.609819,-0.4504,4343.57,2943.14,3.42591,1.00062
log_lik[17476],-0.858614,0.00141965,0.102499,0.106307,-1.03433,-0.854033,-0.696658,5205.05,2796.08,4.10539,1.00172
log_lik[17477],-0.702523,0.00298446,0.198587,0.192614,-1.05847,-0.678621,-0.410604,4450.99,2479.18,3.51064,0.999695
log_lik[17478],-0.644767,0.0033432,0.217675,0.213416,-1.03432,-0.623145,-0.331875,4290.51,2793.78,3.38406,1.00039
log_lik[17479],-0.238932,0.000835479,0.0543344,0.0530848,-0.334692,-0.234638,-0.159607,4523.17,2701.06,3.56757,1.0004
log_lik[17480],-0.145817,0.000654202,0.0416318,0.038479,-0.221917,-0.140129,-0.0890088,4538.04,2400.44,3.5793,1.0012
log_lik[17481],-0.659717,0.0032142,0.227169,0.220922,-1.06624,-0.631898,-0.337941,5099.46,2707.92,4.02211,1.00133
log_lik[17482],-0.671381,0.00342161,0.22469,0.218169,-1.08527,-0.643279,-0.353502,4736.47,3036.48,3.73581,1.00194
log_lik[17483],-0.825042,0.00132613,0.0850135,0.0850992,-0.970977,-0.821409,-0.691429,4243.49,2465.3,3.34697,1.00093
log_lik[17484],-0.796231,0.00276132,0.197028,0.201257,-1.13494,-0.782743,-0.49533,5129.05,2661.09,4.04545,1.00058
log_lik[17485],-0.733867,0.00325348,0.224612,0.226652,-1.13321,-0.711283,-0.402919,4811.02,2335.21,3.79461,0.999715
log_lik[17486],-0.522109,0.00190307,0.13136,0.128102,-0.748749,-0.508254,-0.326896,5005.63,2775.4,3.94811,1.00009
log_lik[17487],-0.663726,0.00339979,0.22435,0.216263,-1.07062,-0.636948,-0.352289,4448.17,2732.33,3.50842,1.00008
log_lik[17488],-0.618123,0.00305572,0.205778,0.197962,-0.987809,-0.590065,-0.326967,4781.8,2718.4,3.77156,1.00262
log_lik[17489],-0.631803,0.001817,0.123361,0.12339,-0.848738,-0.623752,-0.449255,4680.23,2795.88,3.69145,1.00134
log_lik[17490],-1.29326,0.0018887,0.123233,0.123925,-1.49601,-1.29201,-1.0906,4332.34,2961.6,3.41706,1.00096
log_lik[17491],-1.43593,0.00246745,0.183667,0.178109,-1.74977,-1.43046,-1.14632,5525.64,2864.96,4.35825,1.00317
log_lik[17492],-0.588207,0.00271407,0.190045,0.181676,-0.937568,-0.569354,-0.311597,4990.97,2702.04,3.93654,1.00249
log_lik[17493],-0.126022,0.000698618,0.0452775,0.0427091,-0.209112,-0.11902,-0.0646653,4623.94,2784.32,3.64706,1.001
log_lik[17494],-0.326244,0.00181658,0.117656,0.110038,-0.552399,-0.307904,-0.165327,4346.71,2836.12,3.42839,1.00144
log_lik[17495],-0.481975,0.00160137,0.110229,0.111703,-0.674819,-0.473263,-0.320907,4774.89,3022.68,3.76611,0.999622
log_lik[17496],-0.503139,0.00187861,0.130214,0.132422,-0.739889,-0.492184,-0.307203,5069.01,2987.43,3.99809,1.00049
log_lik[17497],-0.742097,0.00253547,0.174555,0.171278,-1.04568,-0.729899,-0.482918,4846.11,2901.6,3.82229,1.00024
log_lik[17498],-0.717556,0.00250573,0.16753,0.169916,-1.01364,-0.705435,-0.466486,4599.49,2927.43,3.62776,1.00065
log_lik[17499],-0.875288,0.00341926,0.241191,0.241108,-1.30531,-0.85487,-0.518898,5251.85,2839.31,4.1423,1.00162
log_lik[17500],-0.571231,0.000897898,0.0600307,0.0587171,-0.674353,-0.568538,-0.475683,4500.9,2965.54,3.55,1.00046
log_lik[17501],-0.187298,0.00122707,0.0842332,0.0729837,-0.344429,-0.17146,-0.0801432,5122.39,2751.41,4.04019,1.00105
log_lik[17502],-0.191629,0.00120546,0.0845982,0.0754616,-0.352726,-0.175694,-0.0831126,5428.35,2788.13,4.28152,1.00131
log_lik[17503],-0.207469,0.000890515,0.0586442,0.0575489,-0.310827,-0.200354,-0.123171,4700.18,2991.8,3.70718,1.00257
log_lik[17504],-1.10792,0.00407858,0.288389,0.290208,-1.622,-1.08916,-0.67309,5247.4,2752.57,4.1388,1.00047
log_lik[17505],-0.626566,0.00175196,0.121986,0.118505,-0.840742,-0.619278,-0.438565,4774.61,2027.67,3.76589,1.00119
log_lik[17506],-0.552051,0.00196807,0.132612,0.131972,-0.782371,-0.542028,-0.352826,4686.72,3087.59,3.69657,1.00164
log_lik[17507],-0.396486,0.00173597,0.112615,0.109037,-0.600155,-0.384,-0.233987,4365.01,2364.21,3.44283,1.00154
log_lik[17508],-0.562672,0.00198368,0.134192,0.13226,-0.796287,-0.552631,-0.358315,4695.71,3118.15,3.70366,1.00172
log_lik[17509],-0.737888,0.00363009,0.232086,0.23152,-1.15588,-0.713555,-0.403083,4139.78,2425.02,3.26518,1.00295
log_lik[17510],-0.598391,0.00278532,0.191073,0.182798,-0.937024,-0.574876,-0.328746,4985.58,2968.82,3.93229,1.00048
log_lik[17511],-1.47724,0.00304279,0.203298,0.20308,-1.83094,-1.46858,-1.155,4531.2,2813.67,3.5739,1.00131
log_lik[17512],-1.78763,0.00427403,0.295279,0.299022,-2.28449,-1.77584,-1.31229,4819.58,2857.49,3.80136,1.00147
log_lik[17513],-0.580473,0.00309378,0.203825,0.189814,-0.956325,-0.552173,-0.298262,5090.29,2294.67,4.01488,1.0032
log_lik[17514],-0.771332,0.00347467,0.229018,0.22547,-1.17881,-0.751323,-0.436778,4615.5,2771.9,3.64039,1.0006
log_lik[17515],-0.680489,0.00266065,0.184656,0.176439,-1.02749,-0.659962,-0.411199,5155.6,2913.19,4.06639,1.00064
log_lik[17516],-0.686327,0.00307555,0.220571,0.21794,-1.08875,-0.664573,-0.373784,5326.39,2934.48,4.20109,0.999856
log_lik[17517],-0.730918,0.0025029,0.182011,0.171923,-1.06754,-0.713123,-0.463704,5795.09,3000.25,4.57078,1.00359
log_lik[17518],-0.593695,0.00143722,0.0937495,0.095922,-0.751684,-0.589147,-0.449198,4347.59,2575.99,3.42908,1.00345
log_lik[17519],-0.220954,0.00137985,0.0910935,0.0810875,-0.389343,-0.203843,-0.105617,4747.2,2502.11,3.74427,1.00035
log_lik[17520],-0.347328,0.00206518,0.138624,0.12779,-0.606036,-0.326087,-0.16211,4729.6,2408.16,3.73039,0.999993
log_lik[17521],-0.429734,0.00197006,0.135496,0.134212,-0.673938,-0.414098,-0.2371,4871.16,2615.88,3.84204,1.00203
log_lik[17522],-0.656262,0.00342771,0.2295,0.224793,-1.06873,-0.630773,-0.329566,4694.94,2430.26,3.70305,1.00095
log_lik[17523],-0.729521,0.00335717,0.238439,0.235854,-1.15335,-0.704381,-0.38977,5389.1,2834.9,4.25055,1.00042
log_lik[17524],-0.592925,0.00290637,0.190671,0.179516,-0.932417,-0.566926,-0.323695,4428.67,2877.38,3.49303,1.00153
log_lik[17525],-1.39091,0.00234926,0.173971,0.172381,-1.68827,-1.38399,-1.11475,5498.31,2701.87,4.33669,1.00042
log_lik[17526],-0.234485,0.00117245,0.0844338,0.0794362,-0.38919,-0.222218,-0.122111,5133.37,2856.73,4.04886,1.00359
log_lik[17527],-0.112415,0.000460842,0.030959,0.0287778,-0.169873,-0.10843,-0.0695407,4886.88,2697.72,3.85444,1.00053
log_lik[17528],-0.245344,0.00125264,0.0842909,0.0812827,-0.399428,-0.231654,-0.132438,4726.74,2586.08,3.72813,0.999942
log_lik[17529],-0.574172,0.00293558,0.193429,0.181132,-0.938175,-0.548516,-0.303666,4687.57,3071.57,3.69724,1.00178
log_lik[17530],-0.533911,0.00157892,0.104233,0.100908,-0.712751,-0.52935,-0.374208,4654.49,2632.69,3.67115,1.00105
log_lik[17531],-0.354415,0.00298704,0.205855,0.175013,-0.776908,-0.311913,-0.105092,5295.65,2738.12,4.17685,1.00028
log_lik[17532],-0.27832,0.00205595,0.141159,0.123833,-0.553525,-0.251778,-0.101203,5599.98,3008.87,4.41689,1.00089
log_lik[17533],-0.173272,0.00125564,0.0806797,0.0706712,-0.328125,-0.156856,-0.0733947,4572.83,2818.19,3.60674,0.999991
log_lik[17534],-0.71019,0.00373044,0.234706,0.233093,-1.1349,-0.67744,-0.375026,3974.46,2833.24,3.13479,1.00151
log_lik[17535],-0.549881,0.00218194,0.141099,0.137118,-0.801265,-0.536511,-0.340843,4213.04,2899.9,3.32296,1.00065
log_lik[17536],-0.515513,0.0021183,0.144734,0.139788,-0.780154,-0.497108,-0.312087,5037.92,2835.74,3.97357,1.00054
log_lik[17537],-0.650185,0.00211342,0.143959,0.145942,-0.90364,-0.638462,-0.432755,4630.91,2606.63,3.65255,1.00036
log_lik[17538],-0.660187,0.00316532,0.225573,0.220242,-1.07813,-0.632046,-0.348326,5343.45,2915.8,4.21455,1.00096
log_lik[17539],-0.574243,0.00102288,0.0657785,0.0656832,-0.687265,-0.571565,-0.470455,4209.04,2429.55,3.31981,1.00088
log_lik[17540],-0.352426,0.00107094,0.0698143,0.0675644,-0.479187,-0.347492,-0.246672,4494.54,2617.99,3.54499,1.0016
log_lik[17541],-1.35773,0.00440163,0.32191,0.329394,-1.91433,-1.33694,-0.863458,5421.2,2416.67,4.27588,0.999991
log_lik[17542],-0.67768,0.00347736,0.2192,0.222289,-1.06859,-0.655407,-0.367502,4160.36,2656.82,3.28141,1.00139
log_lik[17543],-0.598153,0.00230848,0.161289,0.158613,-0.88462,-0.586046,-0.363978,5102.72,3140.07,4.02468,1.00125
