,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[42421],-1.09681,0.00147133,0.0981676,0.100964,-1.26429,-1.09412,-0.943518,4477.19,3042.72,4.00939,1.00209
log_lik[42422],-1.05877,0.00123986,0.0893614,0.0910327,-1.21037,-1.05763,-0.914428,5160.25,2483.25,4.62108,1.00227
log_lik[42423],-0.632742,0.00181932,0.130163,0.129736,-0.863065,-0.624771,-0.434499,5137.51,2760.93,4.60072,1.00257
log_lik[42424],-0.165498,0.000994851,0.0633762,0.0582194,-0.283397,-0.155388,-0.0828376,4955.25,2445.18,4.4375,1.00104
log_lik[42425],-0.316302,0.00163827,0.112453,0.110053,-0.517882,-0.301722,-0.162009,4966.09,2872.92,4.44721,1.00147
log_lik[42426],-0.243331,0.000283065,0.0202647,0.0206349,-0.277822,-0.242705,-0.211078,5221.3,2892.77,4.67575,1.00052
log_lik[42427],-0.156237,0.000635246,0.0453245,0.0429894,-0.236737,-0.151451,-0.0919354,5202.46,2922.22,4.65888,0.999937
log_lik[42428],-0.0794821,0.000412972,0.0263874,0.0236711,-0.129083,-0.0755788,-0.0438451,4369.98,2840.79,3.91338,1.00199
log_lik[42429],-0.316289,0.00163193,0.112429,0.109835,-0.519937,-0.301308,-0.163109,4991.1,2854.97,4.46961,1.00124
log_lik[42430],-0.204272,0.000917646,0.067849,0.0657284,-0.329526,-0.195676,-0.110833,5701.48,2688.91,5.10576,0.999592
log_lik[42431],-0.316286,0.00163726,0.112374,0.110602,-0.520655,-0.301993,-0.162474,4935.3,2771.46,4.41964,1.00143
log_lik[42432],-0.911412,0.0030097,0.204338,0.202392,-1.2699,-0.897402,-0.602859,4615.45,2520.44,4.13321,1.00049
log_lik[42433],-0.215687,0.000818312,0.054523,0.0531052,-0.311655,-0.211111,-0.132967,4561.0,2743.52,4.08445,1.0053
log_lik[42434],-0.644008,0.00325016,0.21739,0.205461,-1.05054,-0.615144,-0.341082,4815.93,2651.26,4.31274,1.00109
