,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[34785],-0.647573,0.00322926,0.22166,0.212302,-1.06085,-0.622326,-0.326876,5131.84,2728.97,5.92732,1.00239
log_lik[34786],-0.52565,0.0024704,0.173797,0.170548,-0.837156,-0.506501,-0.277657,5251.88,2524.63,6.06596,1.00016
log_lik[34787],-0.603957,0.00334024,0.232491,0.226295,-1.03096,-0.573284,-0.280419,4912.8,2922.95,5.67432,1.00147
log_lik[34788],-0.71805,0.0022005,0.167887,0.16777,-1.00752,-0.702665,-0.465016,5928.06,2759.64,6.84696,1.00344
log_lik[34789],-0.680972,0.00330335,0.232668,0.23034,-1.09867,-0.654709,-0.344407,5019.33,2768.11,5.79736,1.00348
log_lik[34790],-0.798693,0.00257027,0.188685,0.182829,-1.13173,-0.785494,-0.514598,5569.71,2547.98,6.43306,1.00038
log_lik[34791],-0.582089,0.00295225,0.198209,0.192337,-0.945284,-0.558298,-0.306568,4862.59,2865.47,5.61633,1.00095
log_lik[34792],-1.0124,0.00200593,0.152068,0.147149,-1.27814,-1.00581,-0.777497,5673.37,2728.95,6.55278,1.00088
log_lik[34793],-0.47836,0.00230051,0.149685,0.146567,-0.747659,-0.464019,-0.264482,4176.44,2571.3,4.82382,1.0008
log_lik[34794],-0.761311,0.00207561,0.154753,0.155011,-1.02991,-0.750075,-0.523844,5698.15,2856.9,6.58141,1.00016
log_lik[34795],-1.06687,0.0020952,0.157727,0.153414,-1.34063,-1.06024,-0.822382,5793.31,2657.14,6.69131,1.00079
log_lik[34796],-0.791034,0.00204439,0.132457,0.131106,-1.02358,-0.782282,-0.589316,4322.95,2421.6,4.99304,1.00018
log_lik[34797],-0.827642,0.00291043,0.208701,0.205068,-1.1916,-0.808267,-0.520236,5623.04,2769.73,6.49466,1.00026
log_lik[34798],-0.835378,0.000925072,0.0679891,0.0679538,-0.951444,-0.832702,-0.727528,5487.57,2925.71,6.33819,1.00036
log_lik[34799],-0.61409,0.0025772,0.188394,0.185042,-0.962255,-0.592842,-0.345364,5390.86,2605.78,6.22649,1.00198
log_lik[34800],-0.709603,0.00154365,0.111004,0.113164,-0.903215,-0.702867,-0.538939,5468.05,3090.7,6.31564,1.00036
log_lik[34801],-0.741566,0.00299311,0.210326,0.202094,-1.11215,-0.721873,-0.440403,5279.2,2382.71,6.09752,1.00179
log_lik[34802],-0.551598,0.00222731,0.155782,0.152145,-0.834016,-0.534381,-0.328737,5309.88,2712.49,6.13296,1.00198
log_lik[34803],-0.708206,0.0033479,0.239562,0.236811,-1.14194,-0.678659,-0.36408,5115.62,2973.0,5.90858,1.0007
log_lik[34804],-0.583048,0.00188323,0.133774,0.131102,-0.818953,-0.571479,-0.387026,5403.18,2744.27,6.24072,1.00066
log_lik[34805],-0.6269,0.00196274,0.143812,0.138483,-0.885529,-0.617576,-0.409626,5468.5,3089.71,6.31617,0.999682
log_lik[34806],-0.650039,0.00256336,0.1902,0.190623,-0.983521,-0.633308,-0.375441,5865.26,2599.52,6.77442,1.00183
log_lik[34807],-0.567325,0.00161268,0.109067,0.106963,-0.752206,-0.561846,-0.401822,4592.46,2539.14,5.30433,1.00016
log_lik[34808],-0.466011,0.0024268,0.158219,0.151751,-0.761709,-0.442875,-0.246501,4643.52,2746.85,5.36331,0.999932
log_lik[34809],-0.767747,0.00130873,0.0983343,0.0971091,-0.934841,-0.764012,-0.615374,5733.46,3260.64,6.62219,1.00042
log_lik[34810],-0.551697,0.00120511,0.0912459,0.0911619,-0.7107,-0.545196,-0.413777,5823.34,2840.11,6.72601,1.00023
log_lik[34811],-0.479833,0.0016095,0.110025,0.109956,-0.671981,-0.468991,-0.318891,5031.3,3043.58,5.81119,0.99976
log_lik[34812],-0.704687,0.00140166,0.0939935,0.0928132,-0.866695,-0.699425,-0.559848,4800.4,2338.41,5.5445,1.00108
log_lik[34813],-0.530896,0.000886041,0.0677538,0.0692668,-0.648467,-0.527554,-0.42584,6122.59,2844.32,7.07164,1.00059
log_lik[34814],-0.557471,0.00197229,0.140316,0.138021,-0.805899,-0.546466,-0.348416,4994.5,2780.28,5.76868,1.00095
log_lik[34815],-0.808236,0.00222548,0.15587,0.156389,-1.07964,-0.800863,-0.568977,5161.32,2616.81,5.96136,1.00148
log_lik[34816],-0.637588,0.00285568,0.19693,0.189807,-0.995847,-0.614462,-0.351969,5041.78,2944.18,5.82329,1.00021
log_lik[34817],-0.695951,0.00232561,0.167603,0.164404,-0.99094,-0.680561,-0.44682,5667.59,2899.77,6.54611,1.00002
log_lik[34818],-0.677603,0.0034077,0.228859,0.214343,-1.1036,-0.648255,-0.361149,4899.3,2924.66,5.65873,0.99967
log_lik[34819],-0.624543,0.00240343,0.132263,0.128117,-0.863185,-0.616765,-0.42736,3480.49,1924.16,4.01999,1.00369
log_lik[34820],-0.641551,0.0011646,0.080953,0.0810757,-0.784256,-0.638251,-0.513949,4832.53,2798.9,5.58161,1.00233
log_lik[34821],-0.624635,0.0024216,0.132374,0.125679,-0.864393,-0.616405,-0.427817,3425.5,1866.96,3.95648,1.0034
log_lik[34822],-0.735432,0.00334514,0.244276,0.237717,-1.17108,-0.708271,-0.387799,5647.43,2524.03,6.52283,1.00174
log_lik[34823],-0.653173,0.00308464,0.230747,0.227218,-1.06984,-0.624104,-0.328402,5845.82,2331.06,6.75197,1.00204
log_lik[34824],-0.73431,0.00327744,0.238047,0.229891,-1.17067,-0.704544,-0.385854,5221.42,2763.39,6.03079,1.001
log_lik[34825],-0.604389,0.00290697,0.208002,0.201019,-0.989392,-0.57802,-0.30761,5603.46,2837.21,6.47204,1.00277
log_lik[34826],-0.947063,0.00312246,0.209751,0.200643,-1.32084,-0.928928,-0.639496,4816.03,2563.33,5.56255,1.00436
log_lik[34827],-0.643224,0.00195301,0.137454,0.133688,-0.883289,-0.63182,-0.434818,5169.89,2952.1,5.97127,1.00293
log_lik[34828],-0.838145,0.00132018,0.092153,0.0910902,-0.992648,-0.835234,-0.690583,4844.69,2712.29,5.59565,1.00071
log_lik[34829],-0.482184,0.000400345,0.0299721,0.0300516,-0.531674,-0.482166,-0.434233,5596.95,2903.84,6.46452,1.00003
log_lik[34830],-0.823944,0.00249364,0.186355,0.181554,-1.15781,-0.806904,-0.551103,5783.88,2241.85,6.68042,1.00353
log_lik[34831],-0.566118,0.00250254,0.17522,0.174185,-0.877608,-0.544934,-0.318584,5077.56,2940.35,5.86462,0.999835
